word,weight
berbenturan,-4
berbiak,-3
berbicara,-3
berbisa,-5
berbohong,-4
berbondong-bondong,-3
berburu,-3
berburuk,-4
bercak,-5
bercakar-cakaran,-4
bercaran,-4
bercat,-3
bercedera,-4
bercekak,-3
bercekcok,-4
bercekit,-4
bercelah,-3
berceloteh,-4
bercempera,-5
bercengkerama,-2
bercerai-berai,-5
bercikun-cikun,-5
bercintaan,-3
bercorak,-3
bercucuran,-5
bercumbu,-4
bercumbuan,-3
bercumbu-cumbu,-3
bercura,-4
berdakwa,-4
berdalih,-4
berdampingan,-3
berdarah dingin,-4
berdasarkan,-4
berdaulat,-3
berdebat,-5
berdekatan,-4
berdekus,-3
berdengung,-3
berdengus,-3
berderum,-4
berdesakan,-3
berdesir,-2
berdikit-dikit,-3
berdompol,-4
berdosa,-4
berduaan,-3
berduka,-5
berdusta,-4
berduyun-duyun,-3
beredak,-5
beregu,-3
berengsaan,-4
berengsek,-5
bergabung,-4
bergadang,-4
bergaduh,-5
bergajul,-5
bergamit,-3
berganda,-3
berganduh,-3
berganggang,-3
bergaul,-3
bergaung,-3
bergejolak,-3
bergelegak,-3
bergelut,-4
bergemam,-3
bergembung,-3
bergemuruh,-3
bergerombol,-4
bergerombolan berkawanan,-4
bergesek,-3
bergesel,-3
bergeser,-4
bergolak,-5
bergontok,-4
bergosok,-3
bergosokan,-3
bergoyah,-4
berguam,-4
berguguran,-3
bergulat,-4
bergulir,-3
bergumam,-3
bergumul,-4
berguncang,-5
bergundang,-5
bergurau,-4
bergurau senda,-4
berguyub,-3
berhala,-4
berhamburan,-5
berhandai-handai,-3
berhantaran,-5
berhanyut,-4
berhati walang,-3
berhelat,-4
berhenti (tugas),-2
berhimpun,-4
berhujah,-4
beri (uang),-2
beri uang,-2
beringas,-4
beringat,-3
beringsut,-3
berjarak,-4
berjauh hati,-3
berjejak,-3
berjejal,-3
berjejal-jejal,-3
berjejas,-5
berjubal,-3
berkabung,-5
berkabut,-3
berkalang tanah,-2
berkarat,-4
berkarut,-5
berkasih-kasihan,-3
berkawan,-3
berkawanan,-4
berkeberatan,-4
berkecai,-5
berkecamuk,-4
berkecandan,-4
berkecenderungan,-3
berkejaran,-3
berkelakar,-4
berkelir,-3
berkelok-kelok,-2
berkelompok-kelompok,-4
berkemal,-4
berkemam,-3
berkemandang,-3
berkemas-kemas,-2
berkembang biak,-3
berkemih,-3
berkenalan,-3
berkeping-keping,-5
berkerak,-2
berkeras-kerasan,-4
berkerubung,-4
berkerumun,-4
berkerut,-2
berketar-ketar,-3
berkhianat,-5
berkilah,-4
berkisar,-3
berkolusi,-5
berkomplot,-4
berkongkalikong,-4
berkonspirasi,-4
berkorban,-3
berkuliah,-4
berkumandang,-3
berkunjung,-4
berkupak,-3
berkurang,-3
berkurangan,-3
berkurap,-4
berlaga,-4
berlalu dari dunia,-5
berlalu dr dunia,-5
berlama-lama,-2
berlandaskan,-4
berlangau,-4
berlanggaran,-4
berlara-lara,-4
berlarat-larat,-4
berlarian,-5
berlawanan,-4
berlebih-lebih,-4
berlelehan,-3
berlengkesa,-3
berlepasan,-3
berlibat-libat,-4
berlik,-4
berliku-liku,-4
berlinang,-3
berlipat,-3
berlipat ganda,-3
berlompatan,-5
berlubang,-3
berluruhan,-3
berlutut,-2
bermain-main,-2
bermesraan,-3
bermetamorfosis,-3
bermoral,-4
bermotif,-3
bermukah,-4
bermuram durja,-5
bermusuhan,-4
bernoda,-4
bernuansa,-3
berogak-ogak,-4
berolok-olok,-4
berombongan,-4
beromong kosong,-4
berona,-3
berongga,-3
berpada-pada,-3
berpadu,-3
berpalit-palit,-4
berpangku tangan,-4
berparak,-4
berpartai,-3
berpasangan,-3
berpasuk,-3
berpencar,-5
berpencaran,-3
berperai-perai,-5
berperang hati,-4
berperang mulut,-3
berpijar,-3
berpoleng,-3
berpuaka,-3
berpuak-puak,-4
